               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.029282,            0.013027,           0.0081803,               0.647,             0.67527,             0.70679,             0.33825,            0.017584,           0.0049878,          0.00086962,            0.004555,            0.004555,            0.004555
                  57,             0.02819,            0.012116,            0.007121,             0.75461,             0.62744,             0.71497,             0.33085,            0.017358,           0.0052572,          0.00072849,            0.004456,            0.004456,            0.004456
                  58,            0.028462,            0.012756,           0.0074759,             0.58726,             0.72121,             0.70791,              0.3414,            0.017372,           0.0051628,           0.0007207,            0.004357,            0.004357,            0.004357
                  59,            0.029926,            0.012217,           0.0081415,             0.77416,             0.64464,             0.74437,             0.35816,            0.016856,           0.0053702,          0.00063132,            0.004258,            0.004258,            0.004258
                  60,            0.028857,            0.012021,           0.0079415,             0.77851,             0.64162,             0.73634,             0.34483,            0.017984,           0.0052824,          0.00078434,            0.004159,            0.004159,            0.004159
                  61,            0.027479,            0.012174,            0.007362,             0.67862,             0.75877,             0.77659,             0.36314,            0.016826,           0.0050318,           0.0005881,             0.00406,             0.00406,             0.00406
                  62,            0.026688,            0.012159,           0.0063919,             0.76192,             0.72739,             0.79863,             0.36858,            0.017071,           0.0050544,          0.00047232,            0.003961,            0.003961,            0.003961
                  63,            0.027754,            0.011984,           0.0080319,             0.74792,             0.69784,             0.78964,             0.37331,            0.017104,           0.0049316,          0.00046097,            0.003862,            0.003862,            0.003862
                  64,            0.027918,            0.012228,           0.0061561,              0.6548,             0.69111,             0.74672,             0.35906,            0.016908,           0.0050908,          0.00052289,            0.003763,            0.003763,            0.003763
                  65,            0.027191,            0.012171,           0.0076769,             0.79087,             0.71006,             0.77542,             0.36827,            0.016163,           0.0048742,          0.00054513,            0.003664,            0.003664,            0.003664
                  66,            0.027895,            0.012503,           0.0069238,             0.79754,             0.66678,             0.80705,             0.38299,            0.016619,           0.0049287,          0.00050179,            0.003565,            0.003565,            0.003565
                  67,            0.028084,             0.01245,           0.0071822,             0.76098,             0.75246,             0.78027,             0.38224,            0.016982,           0.0048909,          0.00069169,            0.003466,            0.003466,            0.003466
                  68,            0.026148,            0.012085,           0.0064281,             0.66392,             0.74296,             0.75735,             0.36495,            0.016314,           0.0048351,          0.00049409,            0.003367,            0.003367,            0.003367
                  69,            0.026853,            0.011867,           0.0067185,             0.79955,             0.72576,             0.78533,             0.40816,            0.015878,           0.0048581,           0.0006816,            0.003268,            0.003268,            0.003268
                  70,             0.02539,            0.011937,           0.0060832,             0.71805,             0.77017,             0.81346,             0.39742,            0.016786,           0.0049263,          0.00037219,            0.003169,            0.003169,            0.003169
                  71,            0.026601,            0.012308,           0.0060447,             0.71236,             0.74801,             0.74963,             0.38108,            0.016952,            0.005048,          0.00041139,             0.00307,             0.00307,             0.00307
                  72,              0.0273,            0.011741,           0.0059368,             0.75121,             0.78883,             0.81343,             0.40513,            0.015717,           0.0049194,          0.00037185,            0.002971,            0.002971,            0.002971
                  73,            0.026422,            0.012409,           0.0059167,             0.66898,             0.81327,             0.79287,             0.41159,            0.015962,            0.004957,          0.00031056,            0.002872,            0.002872,            0.002872
                  74,            0.026558,            0.012069,           0.0058947,             0.72411,             0.79745,             0.82552,             0.40778,            0.015613,           0.0049828,          0.00044557,            0.002773,            0.002773,            0.002773
                  75,            0.026252,            0.011678,           0.0052416,             0.78587,             0.77636,             0.84288,              0.3914,            0.016063,           0.0048576,          0.00032703,            0.002674,            0.002674,            0.002674
                  76,            0.024638,            0.011681,           0.0051774,             0.78032,             0.76961,             0.79826,             0.37208,            0.015657,           0.0048932,          0.00035429,            0.002575,            0.002575,            0.002575
                  77,            0.025923,             0.01168,            0.005227,             0.73313,             0.77646,             0.83036,             0.40407,            0.016096,           0.0048886,          0.00021691,            0.002476,            0.002476,            0.002476
                  78,            0.025783,            0.011822,           0.0063921,             0.73104,             0.78361,             0.82487,             0.39981,            0.016007,           0.0049511,          0.00023558,            0.002377,            0.002377,            0.002377
                  79,            0.025902,             0.01168,           0.0059032,             0.76384,             0.74494,             0.80745,             0.39284,            0.015699,           0.0048189,          0.00030967,            0.002278,            0.002278,            0.002278
                  80,             0.02471,            0.011653,           0.0048507,             0.78263,             0.79897,             0.84349,             0.41823,            0.014652,            0.004775,          0.00026636,            0.002179,            0.002179,            0.002179
